iter	RMSE
0	529.8240596
1	505.5289266
2	482.0028515
3	459.8630156
4	438.8756169
5	419.4361292
6	400.9556993
7	383.0401413
8	366.1766442
9	350.0833842
10	334.3591329
11	319.7145
12	305.7457725
13	292.5696421
14	280.0971429
15	268.1910408
16	257.2765767
17	246.4470036
18	236.1540682
19	226.3113391
20	217.3993125
21	208.4337995
22	200.4150757
23	192.2298361
24	185.1169879
25	178.2949034
26	171.3286346
27	165.2697137
28	159.0472564
29	153.641417
30	148.543287
31	142.9735568
32	137.7983454
33	132.9584388
34	128.2714175
35	123.8079122
36	120.0524806
37	116.5535517
38	112.7894041
39	109.7365642
40	106.813951
41	103.4599317
42	100.3394053
43	97.43822058
44	94.60800244
45	92.14325239
46	90.0567374
47	87.85290105
48	86.00188042
49	84.02013917
50	81.89223974
51	79.946767
52	78.47725217
53	76.6752826
54	75.38129587
55	73.72947631
56	72.5678672
57	71.09609293
58	69.70185155
59	68.69078574
60	67.77513212
61	66.53926198
62	65.42021107
63	64.61164682
64	63.53238857
65	62.85857476
66	61.8876342
67	61.23154867
68	60.66775134
69	60.12175309
70	59.31343543
71	58.48355308
72	58.02511198
73	57.06394578
74	56.46747651
75	55.63161535
76	55.23097351
77	54.59384914
78	54.21863833
79	53.91676125
80	53.31770169
81	53.028395
82	52.48917232
83	52.01814981
84	51.42021365
85	50.4667
86	50.11510027
87	49.2213772
88	48.99177864
89	48.17035186
90	47.71823687
91	46.96247582
92	46.53361908
93	46.13870458
94	45.8387772
95	45.65917437
96	45.00876137
97	44.40524289
98	43.85924846
99	43.70208048
100	43.55015289
101	42.99829302
102	42.65054549
103	42.32743409
104	41.86069907
105	41.71935268
106	41.30039751
107	41.16917146
108	40.84154511
109	40.71363466
110	40.33506631
111	39.9378736
112	39.66790393
113	39.56309876
114	39.31164446
115	38.98646631
116	38.89081568
117	38.79712263
118	38.56619126
119	38.36580113
120	38.2062009
121	38.11928756
122	38.04637926
123	37.74908973
124	37.48123032
125	37.41538602
126	37.10319426
127	37.03600137
128	36.85733766
129	36.62746969
130	36.39438481
131	36.26639913
132	36.17773734
133	36.11909606
134	35.98018918
135	35.72822516
136	35.66920937
137	35.50682989
138	35.30363489
139	35.12846677
140	35.0776778
141	35.02604247
142	34.86267222
143	34.74357523
144	34.63775244
145	34.48032202
146	34.43760384
147	34.23419053
148	34.1949594
149	34.15968801
150	33.98655238
151	33.88396234
152	33.85018954
153	33.71293341
154	33.61477493
155	33.53153079
156	33.42341558
157	33.29919903
158	33.26809274
159	33.19040139
160	33.16364326
161	33.13647931
162	33.09912069
163	33.00253971
164	32.9806452
165	32.82096595
166	32.747023
167	32.61435476
168	32.59321242
169	32.51809643
170	32.4729986
171	32.41381533
172	32.28198568
173	32.26131676
174	32.19927645
175	32.179021
