iter	Passed	Remaining
402	9550	14148
403	9568	14115
404	9587	14085
405	9609	14059
406	9631	14033
407	9663	14021
408	9693	14006
409	9712	13976
410	9737	13954
411	9758	13927
412	9787	13911
413	9811	13888
414	9838	13868
415	9857	13837
416	9878	13810
417	9900	13785
418	9922	13759
419	9954	13746
420	9982	13728
421	10008	13708
422	10032	13684
423	10052	13655
424	10079	13636
425	10096	13604
426	10123	13584
427	10142	13555
428	10162	13526
429	10184	13499
430	10205	13472
431	10229	13449
432	10247	13418
433	10264	13385
434	10290	13366
435	10318	13347
436	10347	13331
437	10365	13299
438	10395	13284
439	10436	13282
440	10461	13260
441	10481	13232
442	10499	13201
443	10520	13174
444	10543	13150
445	10568	13127
446	10587	13097
447	10607	13069
448	10627	13041
449	10660	13029
450	10679	13000
451	10704	12977
452	10724	12950
453	10744	12921
454	10763	12892
455	10786	12867
456	10808	12842
457	10831	12817
458	10853	12792
459	10873	12764
460	10888	12730
461	10909	12703
462	10928	12674
463	10951	12651
464	10978	12630
465	11002	12607
466	11020	12578
467	11050	12562
468	11072	12536
469	11088	12504
470	11114	12483
471	11148	12471
472	11171	12446
473	11193	12421
474	11219	12400
475	11236	12369
476	11265	12352
477	11298	12338
478	11333	12327
479	11352	12298
480	11372	12271
481	11391	12242
482	11409	12212
483	11437	12193
484	11457	12165
485	11494	12157
486	11516	12131
487	11544	12111
488	11578	12099
489	11606	12080
490	11645	12072
491	11674	12053
492	11706	12039
493	11727	12012
494	11756	11994
495	11780	11970
496	11803	11946
497	11829	11924
498	11858	11905
499	11886	11886
500	11909	11862
501	11934	11839
502	11960	11817
503	11984	11794
504	12006	11768
505	12040	11755
506	12063	11730
507	12083	11703
508	12104	11676
509	12128	11652
510	12151	11628
511	12171	11600
512	12204	11586
513	12242	11575
514	12263	11548
515	12290	11528
516	12310	11501
517	12329	11473
518	12351	11447
519	12373	11421
520	12396	11397
521	12412	11366
522	12435	11341
523	12456	11315
524	12491	11301
525	12522	11284
526	12558	11271
527	12595	11259
528	12620	11236
529	12646	11215
530	12683	11202
531	12709	11180
532	12737	11160
533	12760	11135
534	12792	11118
535	12826	11103
536	12847	11077
537	12911	11087
538	12953	11078
539	12978	11055
540	13000	11029
541	13021	11003
542	13046	10980
543	13069	10955
544	13086	10925
545	13107	10898
546	13129	10873
547	13152	10848
548	13177	10825
549	13213	10811
550	13248	10796
551	13273	10772
552	13297	10748
553	13313	10718
554	13335	10692
555	13362	10671
556	13393	10652
557	13417	10628
558	13442	10604
559	13461	10576
560	13489	10556
561	13507	10526
562	13527	10500
563	13550	10475
564	13584	10458
565	13614	10439
566	13643	10419
567	13665	10393
568	13689	10369
569	13705	10338
570	13735	10319
571	13758	10295
572	13778	10267
573	13810	10249
574	13830	10222
575	13853	10197
576	13880	10175
577	13905	10152
578	13927	10126
579	13952	10103
580	13977	10080
581	14005	10058
582	14033	10037
583	14070	10022
584	14092	9996
585	14121	9976
586	14154	9958
587	14175	9932
588	14201	9909
589	14219	9881
590	14246	9859
591	14272	9836
592	14290	9808
593	14320	9788
594	14352	9769
595	14374	9743
596	14401	9721
597	14423	9695
598	14441	9667
599	14462	9641
600	14488	9618
601	14511	9593
602	14529	9565
603	14555	9543
604	14576	9517
605	14603	9494
606	14633	9474
607	14659	9451
608	14689	9430
609	14719	9410
610	14742	9385
611	14774	9366
612	14802	9345
613	14825	9320
614	14850	9296
615	14875	9273
616	14901	9250
617	14926	9226
618	14950	9202
619	14971	9175
620	15006	9158
621	15026	9131
622	15048	9106
623	15078	9086
624	15098	9058
625	15120	9033
626	15150	9012
627	15175	8989
628	15198	8964
629	15225	8941
630	15260	8924
631	15285	8900
632	15308	8875
633	15324	8846
634	15351	8824
635	15371	8797
636	15393	8772
637	15411	8744
638	15433	8719
639	15451	8691
640	15477	8668
641	15500	8643
642	15522	8618
643	15547	8594
