iter	RMSE
0	542.1752133
1	517.6975543
2	494.6613402
3	472.7361683
4	452.0776331
5	432.4698791
6	413.9152041
7	396.2525494
8	379.3828083
9	363.4688365
10	348.6584868
11	334.4136483
12	321.0018159
13	308.0772435
14	295.7881584
15	284.0437305
16	273.1456995
17	262.7762327
18	252.9601364
19	243.7161231
20	234.5921372
21	226.2586361
22	218.4353538
23	210.749786
24	203.794163
25	196.7196201
26	190.3219069
27	184.229271
28	178.1878051
29	172.8770846
30	167.8261292
31	162.538308
32	157.6414911
33	152.9887562
34	148.8773951
35	144.6832214
36	140.981388
37	137.05812
38	133.5592499
39	130.448674
40	127.3898378
41	124.1117056
42	121.4995124
43	118.5254155
44	116.1872249
45	113.9112124
46	111.7269072
47	109.2836194
48	106.967407
49	105.1138121
50	103.0016339
51	101.0511525
52	99.45285044
53	97.61092604
54	96.23986145
55	94.6663753
56	93.02661069
57	91.7863818
58	90.59888289
59	89.12401715
60	87.90372264
61	86.88592087
62	85.91441828
63	84.99726325
64	84.09365065
65	83.0742895
66	81.86576287
67	80.72291611
68	79.96996908
69	79.26897125
70	78.54010565
71	77.92738722
72	77.00064833
73	76.4324625
74	75.45067651
75	74.94519102
76	74.46078098
77	73.53354375
78	73.07448709
79	72.48053702
80	71.58148436
81	70.74047887
82	70.31410288
83	69.62178421
84	69.2250247
85	68.85771028
86	67.95470172
87	67.60530471
88	66.76041135
89	66.42934244
90	66.13996629
91	65.27068667
92	64.98442382
93	64.3337047
94	64.0553265
95	63.27935711
96	62.93799615
97	62.6875574
98	61.95824103
99	61.72650653
100	61.48038853
101	61.2618361
102	60.57445724
103	59.92794389
104	59.71241273
105	58.96085642
106	58.76389041
107	58.491525
108	58.28974717
109	57.64007537
110	57.46904435
111	56.79465302
112	56.57680613
113	56.03421736
114	55.85807842
115	55.19807139
116	54.66651168
117	54.30696996
118	54.16403719
119	53.70113844
120	53.43557308
121	52.85710129
122	52.53165243
123	52.39544423
124	51.8720749
125	51.68762798
126	51.54210173
127	51.40274894
128	50.90821991
129	50.62953323
130	50.50048527
131	50.07036321
132	49.60947326
133	49.28217517
134	49.08005589
135	48.75864943
136	48.53802652
137	48.24469032
138	48.01741225
139	47.88776728
140	47.63209844
141	47.26363891
142	47.17030419
143	47.04053773
144	46.92939168
145	46.58519031
146	46.25600473
147	46.00618207
148	45.66575306
149	45.56046011
150	45.27540464
151	45.06334107
152	44.90087304
153	44.6914536
154	44.49419212
155	44.31313568
156	44.20641415
157	43.98335432
158	43.88997938
159	43.64752507
160	43.44829495
161	43.20547386
162	43.00965196
163	42.90896351
164	42.81390877
165	42.67400955
166	42.42867731
167	42.19564311
168	42.02529727
169	41.91916605
170	41.74443036
171	41.65813861
172	41.47772311
173	41.34068098
174	41.16512497
175	41.0077048
176	40.92728094
177	40.74562144
178	40.65447323
179	40.53739291
180	40.41645623
181	40.27776171
182	40.20978979
183	40.1286519
184	40.04302585
185	39.97460601
186	39.91870587
187	39.73944517
188	39.62454885
189	39.55385987
190	39.49973238
191	39.37820249
192	39.26713496
193	39.19355808
194	39.14326995
195	38.96379967
196	38.95528099
197	38.87112732
198	38.72599179
199	38.72064913
200	38.71426146
201	38.58261686
202	38.48784052
203	38.37177066
204	38.30200733
205	38.21366841
206	38.20749721
207	38.19556776
208	38.12556817
209	38.00165332
210	37.86841227
211	37.76858076
212	37.69038634
213	37.61040084
214	37.49075847
215	37.41238206
216	37.34586241
217	37.32731528
218	37.23162141
219	37.17309908
220	37.08008946
221	37.00864722
222	36.9158489
223	36.80812601
224	36.76012783
225	36.65306378
226	36.54610254
227	36.47106617
228	36.39455565
229	36.2971162
230	36.29115402
231	36.2246419
232	36.18566832
233	36.13095722
234	36.04418128
235	35.96257808
236	35.95761766
237	35.90100374
238	35.84508524
239	35.74573839
240	35.68135026
241	35.63117262
242	35.62722317
243	35.62258492
244	35.58474032
245	35.51355009
246	35.43589885
247	35.3796609
248	35.33098769
249	35.25419458
250	35.2496227
251	35.19255705
252	35.14132284
253	35.09831133
254	35.05483545
255	34.95664281
256	34.9194794
257	34.86209306
258	34.82454819
259	34.74892583
260	34.71423931
261	34.64704914
262	34.60044034
263	34.59672253
264	34.55019075
265	34.48791883
266	34.48492279
267	34.44982035
268	34.44568329
269	34.44296442
270	34.35465315
271	34.31405468
272	34.27803711
273	34.23361333
274	34.20193686
275	34.15220089
276	34.08855961
277	34.03997958
278	33.95328339
279	33.87213566
280	33.83579912
281	33.79270917
282	33.73176878
283	33.69959772
284	33.65966438
285	33.59234179
286	33.53704235
287	33.48664743
288	33.48401121
289	33.44715924
290	33.40684578
291	33.35118985
292	33.31218039
293	33.30914079
294	33.2692629
295	33.23212834
296	33.19572206
297	33.16060111
298	33.09192006
299	33.05350389
300	33.01354142
301	32.98057225
302	32.92982109
303	32.88172807
304	32.84677014
305	32.81100882
306	32.77914404
307	32.77631594
308	32.73794135
309	32.73523987
310	32.68346672
311	32.64792701
312	32.61658199
313	32.58854855
314	32.54725129
315	32.51602222
316	32.48976915
317	32.45858593
318	32.43344031
319	32.41150829
320	32.37786619
321	32.31004263
322	32.2720792
323	32.24000111
324	32.23753374
325	32.17210109
326	32.12275458
327	32.09565164
328	32.09327049
329	32.0649431
330	32.03830898
331	32.03600686
332	32.00589327
333	31.96057129
334	31.89797587
335	31.89576145
336	31.89361872
337	31.86070822
338	31.81571962
339	31.79104856
340	31.76199639
341	31.72205132
342	31.66453048
343	31.62297981
344	31.60313149
345	31.57585862
346	31.52340896
347	31.50359187
348	31.47557926
349	31.43700533
350	31.41316419
351	31.37035104
